Word	Local clustering
ac-130	0.4615
ac-130s	0.6
academia	0.0
academic	0.3571
academy	1.0
acambis	0.3333
accelerate	0.5
acceleration	0.0
accent	0.4
accept	0.3
access	0.169
accessory	0.5
accident	0.2092
accidental	0.6667
acclaim	1.0
accommodation	0.0
accompany	0.0
accomplice	1.0
accord	0.1265
account	0.1547
accountability	0.0
accountable	0.0
accountant	0.1905
accumulation	1.0
accuracy	0.4286
accurate	0.2158
accusation	0.3417
accuse	0.3194
ace	1.0
acerbo	1.0
acetone	0.0
achakzai	1.0
achieve	0.6
achievement	0.0
achilles	0.3333
achin	1.0
achy	1.0
aci	0.25
ackermann	0.6
acknowledge	0.2667
acknowledgement	0.0
acknowledgment	0.4286
aclu	0.2667
acquaintance	1.0
acquire	0.4
acquisition	0.5238
acquittal	1.0
acre	0.1429
acrid	0.35
acrid-smelling	1.0
acrylic	1.0
act	0.1159
action	0.1149
activation	0.5275
active	0.2415
activism	0.1
activist	0.0906
activity	0.1458
acton	0.0
actor	0.1083
actress	0.1786
actual	0.1342
acute	0.0278
ad	0.1404
ad-hoc	0.0
adage	1.0
adam	1.0
adbullah	1.0
add	0.1326
addendum	0.0
addition	0.0
additive	1.0
address	0.1608
addressee	1.0
adelberto	1.0
aden	0.4762
adequate	0.2353
adherent	0.0
adjacent	0.7
adjective	0.0
adjoin	0.0
adlai	1.0
adm	0.2899
administer	0.3333
administration	0.1605
administrator	0.2667
admiral	0.2299
admiration	0.0
admission	0.1524
admonition	0.0
adopt	0.3333
adoption	0.0
adoptive	0.0
adrian	0.3333
adult	0.186
advance	0.2018
advancer	0.0
advani	0.0
advantage	0.2525
advantus	0.3333
advent	1.0
adventure	1.0
adversary	0.1786
adverse	0.3333
adversity	0.0
advertise	0.0952
advertisement	0.2857
advertiser	0.2727
advertising	0.0
advice	0.2114
advise	0.3718
adviser	0.2044
advisor	0.3676
advisory	0.6
advocacy	1.0
advocate	0.2368
aegis	0.5833
aegis-class	0.7
aerial	0.247
aerodrome	0.1667
aeronautical	0.3333
aeroplane	0.0
aerosol	0.6667
aerospace	0.6071
af002	0.5
afa	1.0
affair	0.1736
affairs	0.6667
affect	0.2935
affidavit	0.1126
affiliate	0.4167
affiliation	0.0
afflict	1.0
affluent	0.3333
afford	0.3333
affordable	0.3333
affront	0.3333
afghan	0.0947
afghan-based	0.5455
afghani	0.2182
afghani-american	0.6
afghanis	0.0
afghanistan	0.0602
afghanistan-based	0.8571
africa	0.2966
african	0.2646
afterburner	1.0
aftermarket	0.0
aftermath	0.2466
afternoon	0.2453
aftershock	0.7333
afula	0.6703
ag	0.1878
agawam	0.0
age	0.2451
agency	0.1165
agenda	0.1846
agent	0.1073
aggression	0.4015
aggressive	0.2512
aggressor	0.0
agnew	0.0
agonize	0.0
agony	0.0
agosto	0.1667
agree	0.0833
agreement	0.1836
agricultural	0.4248
agricultural-use	0.7
agriculture	0.3791
agro-terrorism	0.4667
agroterrorism	0.0
agwunobi	0.7333
ah-64	0.0
ahad	0.7143
ahmad	0.1519
ahmadullah	0.5278
ahmed	0.1471
ahmed_alghamdi	0.3333
ahmed_alhaznawi	0.3333
ahmed_alnami	0.0
ahmedabad	0.3
ahmet	1.0
ahoy	0.0
ahp	1.0
ahtar	0.7333
aib	1.0
aid	0.181
aide	0.1756
aideed	1.0
aids	1.0
ail	0.0
ailment	0.2143
aim	0.2995
aimal	0.0
aiman	1.0
aip	0.3525
air	0.0946
air-defense	0.6667
air-drop	1.0
air-filter	0.0
air-launched	1.0
air-phone	0.0
air-phones	0.0
air_force	0.1255
air_force_one	0.3143
airbase	0.2299
airbills	0.0
airboats	0.0
airborne	0.3212
airboss	0.3333
airbus	0.7556
aircraft	0.1006
aircrew	1.0
airdrop	1.0
aires	0.6667
airfare	0.6667
airfield	0.1876
airlift	0.3
airline	0.0994
airliner	0.19
airliner-hijacking	0.0
airlink	0.7619
airphones	0.0
airplane	0.2339
airport	0.0937
airspace	0.2288
airstrike	0.4429
airstrip	0.4
airtime	0.0
airwaves	0.5238
airway	0.1849
aisle	0.3333
ak-47	0.5778
ak47	0.3333
akaka	0.5
akamai	0.3929
akayev	0.3333
akhond	0.1786
akhter	0.0
akhund	0.6389
akre	1.0
al	0.1116
al-	0.7333
al-abdullah	1.0
al-ahmad	1.0
al-ahram	1.0
al-alimi	1.0
al-ansar	0.3333
al-aqsa	0.2
al-assad	0.4667
al-awa	0.3333
al-awsat	0.6667
al-bader	0.0
al-bayan	0.0
al-fahad	1.0
al-faisal	0.5667
al-ghamdi	0.0
al-hamzi	0.3333
al-hariri	0.6
al-hazmi	0.2167
al-hazoumi	0.5
al-iqtisadi	0.0
al-islamiyya	1.0
al-jaber	1.0
al-jarrah	1.0
al-jazeera	0.4381
al-jihad	1.0
al-khalifa	0.4889
al-khatib	0.6667
al-khhatib	0.8
al-khobar	0.3333
al-maktoum	0.6667
al-marabh	0.2436
al-masri	0.8
al-midhar	0.2048
al-mihdhar	0.0
al-mughassil	0.3333
al-nahayan	0.4857
al-naimi	0.8
al-qadi	0.6
al-qaida	0.3333
al-qods	1.0
al-raee	1.0
al-rahman	1.0
al-rashid	1.0
al-riyadh	1.0
al-sabah	0.5833
al-salmi	1.0
al-shami	0.0
al-shara	0.7
al-shehhi	0.1988
al-shehri	0.3333
al-shouli	0.0
al-sudais	0.3333
al-thawra	0.0
al_qaeda	1.0
al_quaeda	0.1691
al_quaeda-related	0.0
alabama	0.1818
alacrity	0.1667
alain	1.0
alam	0.8
alameda	0.0
alamo	0.1
alan	0.1818
alarm	0.1716
alarmist	0.0
alaska	0.221
alaskan	0.0
alavi	1.0
alawi	1.0
albertine	0.1667
albright	0.0
alcohol	1.0
aldouri	0.1667
alec	0.6667
alei	0.5333
alert	0.2269
alex	1.0
alexander	0.4643
alexandria	0.2182
alfred	0.2667
alfredo	0.0
algeria	0.2246
algerian	0.1939
alhabibi	0.5
alhamzi	0.1556
alhamzis	0.3333
alhazmi	0.3333
ali	0.1885
ali-haimoud	0.0
alia	0.1667
alias	0.3333
alibek	0.25
alicante	1.0
alice	0.3333
alien	0.3297
alitalia	0.0
alkarori	0.3333
all-afghan	0.4667
all-encompassing	1.0
all-enveloping	0.1944
all-important	0.0
all-out	0.381
all-star	0.3333
all-terrain	0.0
all-weather	0.5
all_the_time	0.0
allah	0.1026
allah-u-akbar	1.0
allan	0.2
allardice	0.4286
allay	0.8667
allbaugh	0.2
allegation	0.2917
allege	0.2288
allegiance	0.2308
allen	0.1515
allergy	0.8
alley	0.0
allgemeine	0.8333
alliance	0.1833
allianz	0.3636
allison	0.0
allocation	0.0
allow	0.2438
allude	1.0
ally	0.1847
almaty	0.0
almaz	0.0
almeria	0.0
almighty	0.0
almihdhar	0.0667
almond	0.0
alo	1.0
alomari	0.2667
alone	1.0
alpha	0.4
alpine	1.0
alps	0.7
alshadi	0.5
alshehri	0.1333
alter	1.0
alternate	0.381
alternative	0.1821
altima	0.1667
altitude	0.1481
altruism	0.1071
aluminum	0.0
alvarez	0.5
alvin	0.0
alviri	0.3333
alwaleed	0.4286
am	0.3143
amal	1.0
amar	0.0
amaru	1.0
amaze	0.1667
amazon	0.1818
amazon.com	1.0
ambassador	0.1523
ambiguity	1.0
ambiguous	0.3
ambition	0.1905
ambitious	0.0
ambivalence	0.0
ambulance	0.1538
ambush	0.4727
amec	0.0
amendment	0.0632
amends	0.0
ameren	0.0
america	0.1151
american	0.0666
american-arab	0.3333
american-british	0.0
american-style	0.3333
american_airline	0.6
american_airlines	0.1586
americare	1.0
americares	0.2857
americorps	0.3333
amerithrax	0.0
amex	0.0
ami	0.2253
amin	0.1778
amir	0.8545
amir-ul-momineen	1.0
amman	0.2
ammiano	1.0
ammunition	0.1855
amount	0.1171
amphibious	0.3077
ample	0.4744
amr	0.2573
amro	0.0
amsterdam	0.3333
amtrak	0.2433
amtran	1.0
amu	0.2
amy	1.0
anaheim	0.6667
analogy	0.6667
analysis	0.2406
analyst	0.1195
analytical	0.0
analyze	0.0
anarchist	0.1667
anarchy	0.3
anathema	0.0
anatol	0.5
anatoly	0.0
anchor	0.7273
anchorage	0.0
anchorman	1.0
ancient	0.2333
and	0.2949
anderson	0.268
andkhoi	0.0
andover	0.0
andre	0.3333
andrea	0.3
andrew	0.2154
andrews	0.3846
andy	0.0
anecdotal	0.0
anemia	0.0
angel	0.0
angela	0.0
angelice	0.0
angell	0.0714
anger	0.2408
angle	0.0952
angry	0.2316
anguish	0.4667
angus	1.0
anheuser-busch	0.0
animal	0.1571
animation	0.0
animist	0.0
anita	0.2857
ankara	0.451
ankle	0.0
ann	1.0
annal	0.3333
annan	0.2838
anne	0.4
annette	0.0
annex	1.0
annie	1.0
annihilate	0.0
annihilation	0.0
anniversary	0.2381
announce	0.257
announcement	0.2321
announcer	0.0
annoy	0.0
annual	0.1206
annulment	0.6667
anonymity	0.5556
anonymous	0.3455
ansary	0.6
ansey	0.0
anstey	0.0
answer	0.2561
antara	0.6
antenna	0.6667
anthax	0.3333
anthem	0.381
anthony	0.3333
anthracis	0.5
anthrax	0.0706
anthrax-bearing	0.3333
anthrax-consistent	1.0
anthrax-containing	0.6667
anthrax-contaminated	0.3929
anthrax-fighting	1.0
anthrax-laced	0.375
anthrax-laden	0.2857
anthrax-poisoned	0.0
anthrax-tainted	0.5336
anthropologist	1.0
anti	0.0
anti-abortion	1.0
anti-aircraft	0.1877
anti-american	0.2362
anti-anthrax	1.0
anti-arab	1.0
anti-artillery	1.0
anti-baghdad	1.0
anti-ballistic	0.4
anti-bioterrorism	1.0
anti-capitalists	0.0
anti-crime	1.0
anti-discrimination	1.0
anti-drug	0.0
anti-extremist	1.0
anti-globalization	0.381
anti-government	1.0
anti-israel	0.1667
anti-missile	0.6
anti-money	0.2667
anti-money-laundering	0.0
anti-muslim	0.0
anti-occupation	0.0
anti-soviet	0.4667
anti-taliban	0.2526
anti-tank	0.2381
anti-terror	0.4634
anti-terrorism	0.2649
anti-terrorist	0.381
anti-united_states	0.2376
anti-war	0.1103
anti-western	0.3442
antibacterial	0.0
antibiotic	0.1353
antibody	0.6667
anticipate	0.4941
anticipation	0.3046
antidote	1.0
antietam	1.0
antique	1.0
antiseptic	1.0
antitrust	1.0
antiviral	0.0
antivirus	0.1667
anton	1.0
antonia	0.3333
antonio	0.3929
antwerp	0.0
anwar	1.0
anxiety	0.286
anxious	0.2807
any_more	1.0
aol	0.3297
aon	1.0
ap	0.6
apache	0.2727
apartment	0.1516
apec	0.2077
apologist	1.0
apology	0.4
apostasy	0.0
apostate	0.0
appal	0.3333
apparatus	0.5238
apparel	0.0
apparent	0.199
appeal	0.2513
appeals_court	1.0
appear	0.2123
appearance	0.23
appease	0.75
appeasement	0.0667
applaud	0.5909
applause	0.2273
apple	0.0
applicability	0.0
applicable	1.0
applicant	0.1333
application	0.1494
apply	0.3333
appoint	0.4
appointee	1.0
appointment	0.2
apportion	1.0
appreciate	1.0
appreciation	0.2515
apprehension	0.6
apprise	0.0
approach	0.204
appropriate	0.3262
appropriateness	1.0
appropriation	0.3417
approval	0.1474
approve	0.5641
april	0.1438
apron	0.0
aq	0.4
aqeebu-allah	0.0
arab	0.1646
arab-american	0.3636
arab-israel	0.0
arab-israeli	0.0
arab-owned	0.3333
arabia	0.0
arabian	0.2495
arabic	0.2118
arabic-language	0.2807
arabic-sounding	0.6667
arabica	0.6667
aral	0.0
arap	1.0
arberg	0.25
arbiter	1.0
arbitrary	1.0
arc	0.1667
arch-enemy	0.0
arch-foe	0.6667
arch-foes	0.6667
arch-rival	1.0
archbishop	1.0
archdiocese	1.0
archeologist	1.0
archer	0.0
archipelago	1.0
architect	0.8333
architectural	1.0
arco	0.0
ardent	0.3333
area	0.0982
arena	0.0667
arg	0.5
argenbright	0.2338
argentina	0.1455
argentine	0.3333
argue	0.5278
argument	0.2095
ari	1.0
ari_fleischer	0.34
arid	0.3333
ariel	0.5513
arif	0.3333
arifikram	1.0
arise	0.0
ariz	0.0
arizona	0.1356
arkansas	0.3
arlen	0.7
arlington	0.2905
arm	0.1814
arm-twisting	0.0
armed	0.3512
armenia	0.3455
armey	0.6364
armitage	0.2474
armor	0.3382
armory	0.1111
arms	0.4643
arms_control	0.3636
armstrong	0.6667
army	0.1151
army-arabian	1.0
arnold	0.2545
around-the-clock	0.4697
arouse	0.0
arrange	1.0
arrangement	0.1858
array	0.1621
arrest	0.2133
arrival	0.3098
arrive	0.3123
arrogance	0.2
arrogant	0.0
arroyo	0.5333
arsenal	0.2434
arson	0.0
art	1.0
art-deco	0.6
artery	1.0
article	0.1707
artificial	0.1667
artigiani	1.0
artillery	0.1763
artistic	1.0
aryan	1.0
asahi	1.0
asbestos	0.163
asbestosis	0.0
asean	0.5
asefi	0.6667
asem	0.0
ash	0.2364
asharq	1.0
ashby	0.2
ashcroft	0.2118
ashcroft-leahy-dennis_hastert	1.0
ashcroft.some	1.0
ashley	1.0
ashraf	0.4889
ashrawi	0.6667
ashtray	0.0
ashy	1.0
asia	0.1789
asia-europe	1.0
asia-pacific	0.4545
asian	0.1507
asian-pacific	0.0
asiana	1.0
asio	1.0
ask	0.233
ask-only	0.3333
askar	1.0
aslan	0.0
asleep	0.6667
asmanzai	1.0
aspect	0.2804
aspirant	1.0
aspiration	0.2
assailant	0.3333
assassinate	0.6
assassination	0.1767
assault	0.1677
assay	0.0
assembly	0.215
assertion	0.3015
assess	0.0
assessment	0.1935
asset	0.2015
asset-management	0.0
assign	0.0
assignment	0.3273
assist	0.2092
assistance	0.2339
assistant	0.1402
associate	0.1892
association	0.1544
assuage	1.0
assume	0.0
assumption	0.5111
assurance	0.2211
assure	0.2545
asthma	0.0
astrology	1.0
astute	1.0
asylum	0.2
asymmetric	0.6667
at&t	0.3333
ata	0.2576
atal	0.8667
atan	0.0
atc	0.4
atef	0.2524
athens	0.4643
athlete	0.2
atif	0.5
atiqullah	0.0
atlanta	0.1606
atlanta-based	0.3736
atlantic	0.2411
atlantis	0.0
atmosphere	0.1583
atmospheric	1.0
ato	0.3333
atomic	0.3556
atrianfar	0.0
atrocity	0.2877
atrophy	0.6667
atta	0.1495
atta-ur-rehman	0.6667
attac	1.0
attachment	0.0
attack	0.0458
attack.the	1.0
attacker	0.2044
attacks.a	1.0
attacks.reality	0.0
attah	0.7778
attempt	0.2095
attend	0.192
attendance	0.2857
attendant	0.2184
attention	0.1486
attitude	0.4286
attorney	0.1689
attorney-client	0.3333
attraction	0.5
attractive	1.0
atty_gen_ashcroft	0.3778
atty_gen_ashcroftand	0.6515
atty_gen_ashcroftbriefed	0.7
atty_gen_ashcroftfirst	1.0
atty_gen_ashcroftgave	1.0
atty_gen_ashcrofthas	0.5333
atty_gen_ashcroftin	1.0
atty_gen_ashcrofton	0.6667
atty_gen_ashcroftreturns	1.0
atty_gen_ashcroftsaid	0.5437
atty_gen_ashcroftto	1.0
atty_gen_ashcrofttold	0.75
atty_gen_ashcroftwarned	0.0
atty_gen_ashcroftwho	0.7
atwa	0.0
atypical	0.0
auburn	0.0
auc	0.3333
audacious	0.5714
audible	0.3333
audience	0.1402
audit	0.6667
auditorium	0.3485
aug	0.1333
august	0.2824
augusta	0.0
aum	0.5
aunt	0.0
ausaf	0.3939
auspices	0.6667
australia	0.1959
australian	0.2286
austria	0.0
authenticity	0.2857
author	0.1212
authority	0.12
authorization	0.1993
authorize	0.4559
auto	0.5
autocratic	1.0
automaker	0.3455
automatic	0.2
automobile	1.0
autonomy	0.3
autopilot	0.0
autumn	0.1455
av-8	0.6667
availability	0.4571
available	0.3514
avaya	0.0
ave	1.0
aventis	0.2637
avenue	0.1474
average	0.2564
aversion	0.0
avi	0.0
aviation	0.1818
aviator	0.0
avid	0.0
aviv	0.4909
avoid	0.2857
awacs	0.3929
awad	0.6
awadallah	0.1014
await	0.2667
award	0.1631
aware	1.0
awareness	0.2857
awesome	1.0
awful	0.3333
awkward	0.3333
axa	1.0
axis	0.6667
axt	0.0
ayatollah	0.5278
ayman	0.2889
ayub	0.6667
azeezaly	1.0
azeglio	1.0
azerbaijan	1.0
azhar	0.381
aziz	0.2416
azmath	0.2667
aznar	0.8333
azra	0.0
azzawia	1.0
azzoun	0.0
b	0.2949
b-1	0.4286
b-1b	0.0
b-2	0.3556
b-2s	0.0
b-52	0.2925
b-52h	1.0
b-52s	0.3268
b.j	1.0
baath	1.0
baba	0.1905
baby	0.1458
baby-sit	0.0
bachorik	0.6667
bacillus	0.3571
back	0.1915
back-office	0.0
back-to-back	0.3333
back-up	0.2198
backbone	0.4286
backdrop	0.0641
backer	0.2833
background	0.1379
backlash	0.302
backlog	0.0
backpack	1.0
backroom	1.0
backseat	1.0
backslap	0.0
backstage	1.0
backup	0.3046
backwater	0.3333
bacon	0.0
bacou-dalloz	0.3333
bacteria	0.4
bacterial	0.3
bacteriological	0.3333
bacteriologist	1.0
bacteriology	1.0
bacterium	0.1644
bad	0.2444
badge	0.2254
badghis	0.1758
badr	0.0
baffle	0.6667
bag	0.1281
baggage	0.1654
baggage-screening	1.0
baggaley	0.3333
bagh-i-bala	0.0
baghdad	0.2857
baglan	1.0
bagpipe	0.0
bagram	0.2566
bagram-bamiyan	0.0
bahadur	1.0
bahaji	0.5714
bahamas	0.3
bahawuddin	0.4
bahrain	0.2804
bahraini	0.3
bahram	1.0
bahrul	1.0
bail	0.1857
bailes	0.0
bailey	0.4286
bailout	0.2684
baines	1.0
baird	0.3333
bajuar	1.0
bakalchuk	0.3333
bakarbashat	0.0
bake	0.0
baker	0.1071
bakery	0.0
bakhodyr	1.0
bakhtar	0.6667
bakri	0.6
balance	0.2115
balancing	0.6667
balbir	1.0
balcony	0.0
bald	0.0
baldacci	1.0
baldwin	0.3
bale	0.0
balkan	0.3889
balkh	0.4643
ball	0.1583
ballgame	0.0
ballinger	0.7619
ballistic	0.6667
balloon	0.6667
ballot	0.3333
ballpark	0.0667
baltimore	0.2418
baltimore-washington	0.3
baluch	0.4762
baluchistan	0.4242
bam	0.0
bambang	1.0
bamian	1.0
bamiyan	0.6889
ban	0.1972
banc	0.1667
band	0.15
bandage	0.1
bandar	1.0
bandit	0.0
bang	0.0
bangladesh	0.2429
bangladeshi	0.4667
bangzao	0.5278
bank	0.1073
banker	0.2281
bankruptcy	0.1212
banner	0.0882
bar	0.1411
bar-code	0.0
bar-restaurant	0.3333
barahui	0.0
barak	0.0
baraka	1.0
barakaat	0.3853
barakat	0.1429
barbados	0.0
barbara	0.1034
barbarian	0.6667
barbaric	0.5
barbarism	1.0
barbarity	0.6667
barbed	0.3333
barber	0.1667
barbra	0.3333
bare	0.0
bargain	0.1
barge	0.1667
barksdale	0.3929
barley	0.0
barlow	1.0
barn	1.0
barne	0.0
barnes	0.0357
barney	0.1667
barometer	1.0
barr	0.0
barracks	0.5
barrage	0.3333
barrel	0.4409
barren	0.3333
barricade	0.1569
barrier	0.2515
barry	0.1158
barta	1.0
barton	0.0
baryalai	0.0
base	0.1175
baseball	0.2101
basel	0.6
basement	0.4487
bashar	0.8333
basher	0.0
basic	0.1581
basilan	0.0
basilica	0.3333
basin	0.6667
basir	0.0667
basis	0.1938
bask	1.0
basket	0.6667
basque	0.0
basra	0.0
bassani	0.0
basset	0.0
bastion	0.8
batch	0.3333
bathroom	0.1429
baton-wielding	0.0
battalion	0.3788
batter	0.15
battery	0.4118
battle	0.1653
battle-hardened	0.5
battle-scarred	1.0
battlefield	0.2537
battlefront	0.0
battleground	1.0
batwing	0.0
baucus	0.2667
baumeister	0.5333
bausch	0.0
bavarian	0.3333
bawe	0.0
baxter	0.0
bay	0.1718
bayer	0.2759
bayh	0.4615
bayou	0.0
bazaar	0.2222
bazar	0.0
bazari	1.0
bbc	0.3704
bbc1	0.0
bcom3	1.0
be	0.1827
beach	0.1671
beachhead	0.0
beam	0.2
beamer	0.1429
bean	0.0
bear	0.2132
beard	0.1209
bearded	0.4444
beat	0.2727
beatle	1.0
beaton	0.2381
beautiful	0.1
beazley	0.3333
bechtel	1.0
becker	0.1
beckwith	0.0
becky	0.0
become	0.2088
bed	0.2444
bedford-stuyvesant	0.5
bedlam	1.0
bedlington	0.0
bedroom	0.0
beef	0.4044
beef-up	1.0
beefed-up	1.0
beefsteak	0.0
beek	0.1667
beer	0.0
before-and-after	0.2
beg	0.0
beghal	0.1558
begin	0.2889
beginning	0.0
begum	0.3333
behalf	0.3138
behari	0.8667
behavior	0.2134
behavioral	0.2
behrens	0.0
beijing	0.1994
being	0.1923
beirut	0.3056
beit	0.4286
bekaa	1.0
belarus	0.4667
belate	0.6667
belchere	0.0
belding	0.0
beleaguered	0.3929
belfast	0.0
belgian	0.2369
belgium	0.1694
belief	0.2127
believe	0.5059
believer	0.0
bell	0.1441
bellanca	1.0
bellevue	0.2417
bellicose	0.0
